Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MaritalStatus,Over18,StandardHours,EmployeeCount
38,No,Travel_Rarely,1323,Research & Development,11,4,Life Sciences,1001,4,Female,3,3,Research Director,3,1810.0,8,No,19,3,1,0,34,5,4,6,6,2,3,Married,Y,80,1
48,No,Travel_Rarely,687,Research & Development,8,5,Medical,1002,3,Male,1,3,Healthcare Representative,1,2860.0,4,No,11,3,1,0,32,5,2,8,6,7,4,Divorced,Y,80,1
32,No,Travel_Rarely,1201,Research & Development,26,1,Medical,1003,1,Male,2,1,Sales Representative,1,7810.0,9,No,18,3,4,0,14,3,2,1,1,4,5,Single,Y,80,1
54,No,Travel_Rarely,484,Research & Development,29,4,Marketing,1004,2,Male,2,1,Human Resources,3,3600.0,5,No,24,3,4,3,40,4,4,16,0,3,17,Divorced,Y,80,1
26,No,Travel_Rarely,479,Research & Development,29,1,Marketing,1005,4,Male,4,3,Sales Executive,1,3180.0,9,No,18,3,1,1,8,3,1,19,10,3,1,Married,Y,80,1
42,No,Travel_Rarely,759,Research & Development,6,2,Technical Degree,1006,1,Male,2,2,Manufacturing Director,3,4180.0,1,No,21,3,2,0,24,2,3,15,3,13,13,Married,Y,80,1
41,No,Travel_Rarely,191,Research & Development,5,4,Marketing,1007,3,Male,2,4,Manufacturing Director,4,2580.0,3,No,18,3,2,3,39,0,2,3,3,14,2,Single,Y,80,1
29,No,Travel_Rarely,1300,Research & Development,5,3,Marketing,1008,3,Female,2,2,Healthcare Representative,3,6660.0,6,Yes,17,3,2,0,37,4,3,15,1,5,15,Divorced,Y,80,1
53,No,Travel_Frequently,189,Research & Development,18,1,Other,1009,4,Female,2,2,Laboratory Technician,2,3530.0,8,No,15,4,1,3,40,3,2,9,3,6,14,Married,Y,80,1
33,No,Travel_Rarely,1141,Research & Development,25,3,Life Sciences,1010,2,Female,1,5,Manager,4,2350.0,9,No,19,3,2,0,15,5,4,8,15,10,0,Married,Y,80,1
55,No,Travel_Frequently,634,Research & Development,10,1,Marketing,1011,2,Male,4,4,Manager,3,4170.0,7,No,20,3,1,1,37,2,3,0,11,0,6,Single,Y,80,1
28,No,Non-Travel,1229,Sales,14,3,Human Resources,1012,4,Male,1,3,Research Scientist,4,2530.0,7,No,12,3,4,0,27,1,3,19,15,5,4,Divorced,Y,80,1
54,Yes,Travel_Rarely,501,Research & Development,23,5,Technical Degree,1013,1,Male,3,3,Human Resources,3,2830.0,2,No,22,3,4,1,36,5,2,17,2,5,17,Single,Y,80,1
50,No,Travel_Rarely,555,Research & Development,15,5,Life Sciences,1014,4,Female,2,2,Manufacturing Director,2,5250.0,7,Yes,19,3,3,0,32,6,4,19,3,2,17,Married,Y,80,1
23,No,Travel_Frequently,927,Research & Development,15,5,Other,1015,2,Male,2,5,Manufacturing Director,1,2590.0,8,No,13,3,1,3,30,6,3,1,10,10,17,Single,Y,80,1
60,No,Travel_Rarely,1239,Sales,27,4,Medical,1016,1,Female,3,2,Sales Executive,3,1880.0,5,No,21,4,3,2,42,4,4,12,8,3,17,Married,Y,80,1
45,Yes,Travel_Frequently,507,Research & Development,5,2,Human Resources,1017,4,Female,1,1,Manager,2,3230.0,9,Yes,17,3,3,1,27,1,1,12,3,15,6,Divorced,Y,80,1
46,No,Travel_Rarely,149,Sales,2,3,Human Resources,1018,1,Male,2,2,Healthcare Representative,3,2730.0,8,No,23,3,1,2,30,2,2,5,0,11,2,Married,Y,80,1
32,No,Travel_Rarely,695,Sales,6,4,Medical,1019,3,Male,3,2,Laboratory Technician,2,1520.0,5,Yes,13,3,3,2,20,5,4,17,0,14,2,Married,Y,80,1
24,No,Travel_Rarely,136,Research & Development,10,2,Human Resources,1020,1,Female,2,1,Manufacturing Director,4,1730.0,7,No,23,4,2,3,30,4,2,18,4,12,2,Married,Y,80,1
